trial,result
100,3
100,6
100,4
100,1
100,1
100,5
100,1
100,6
100,4
100,6
100,5
100,2
100,3
100,5
100,2
100,1
100,6
100,6
100,1
100,6
100,1
100,4
100,5
100,1
100,3
100,1
100,4
100,6
100,1
100,2
100,6
100,2
100,1
100,2
100,4
100,5
100,4
100,5
100,5
100,6
100,3
100,6
100,5
100,3
100,3
100,4
100,2
100,5
100,6
100,2
100,5
100,4
100,3
100,1
100,1
100,3
100,2
100,1
100,5
100,1
100,2
100,5
100,2
100,3
100,1
100,6
100,5
100,2
100,4
100,6
100,6
100,3
100,4
100,2
100,3
100,4
100,3
100,3
100,4
100,3
100,2
100,1
100,6
100,1
100,4
100,2
100,1
100,4
100,3
100,1
100,2
100,5
100,6
100,2
100,6
100,5
100,1
100,6
100,2
100,4
1000,5
1000,5
1000,5
1000,6
1000,3
1000,4
1000,1
1000,4
1000,3
1000,2
1000,3
1000,4
1000,3
1000,2
1000,6
1000,2
1000,1
1000,4
1000,2
1000,4
1000,4
1000,4
1000,1
1000,4
1000,1
1000,4
1000,3
1000,2
1000,3
1000,4
1000,3
1000,1
1000,2
1000,1
1000,1
1000,3
1000,5
1000,6
1000,3
1000,4
1000,1
1000,4
1000,5
1000,2
1000,2
1000,2
1000,3
1000,4
1000,5
1000,5
1000,1
1000,2
1000,5
1000,1
1000,5
1000,4
1000,3
1000,4
1000,5
1000,3
1000,6
1000,5
1000,2
1000,3
1000,5
1000,2
1000,5
1000,4
1000,6
1000,3
1000,6
1000,1
1000,4
1000,3
1000,6
1000,1
1000,6
1000,1
1000,5
1000,3
1000,2
1000,4
1000,5
1000,1
1000,2
1000,1
1000,2
1000,3
1000,5
1000,1
1000,2
1000,6
1000,4
1000,3
1000,2
1000,3
1000,1
1000,6
1000,6
1000,6
1000,3
1000,1
1000,2
1000,4
1000,4
1000,3
1000,1
1000,6
1000,6
1000,2
1000,5
1000,4
1000,1
1000,1
1000,3
1000,4
1000,4
1000,4
1000,6
1000,1
1000,4
1000,4
1000,2
1000,3
1000,3
1000,6
1000,6
